단어,개체명 인식,id,***
가평,B_LOC,lr_0Voplflo,
으로,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
1박 2일,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
여행을,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
다녀왔어요,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
:),O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
날씨가,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
좋았다가,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
"흐렸다가,,",O,lr_0Voplflo,
 ,O,lr_0Voplflo,
아주,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
난리였지만,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
평소에,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
가고싶은곳을,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
가게,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
되어,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
도움이,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
될만한,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
영상을,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
만들어봤어요!,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
가평,B_LOC,lr_0Voplflo,
 ,O,lr_0Voplflo,
여행,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
루트,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
제이드가든,B_TOR,lr_0Voplflo,
 ,O,lr_0Voplflo,
-,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
자라섬,B_TOR,lr_0Voplflo,
(,O,lr_0Voplflo,
비와,O,lr_0Voplflo,
서 못갔지,O,lr_0Voplflo,
만),O,lr_0Voplflo,
 ,O,lr_0Voplflo,
-,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
여우사이,B_RES,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
남의섬,B_TOR,lr_0Voplflo,
 ,O,lr_0Voplflo,
-,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
웰빙닭갈비,B_RES,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
지우리조트,O,lr_0Voplflo,
는,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
남이섬,B_TOR,lr_0Voplflo,
 ,O,lr_0Voplflo,
옆,O,lr_0Voplflo,
이라,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
1박,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
하실분들은,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
편하실꺼예요,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
???,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
????????????????????????,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
??,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
music,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
http,O,lr_0Voplflo,
s://,O,lr_0Voplflo,
soundcloud.app.goo.gl/iNXt8QCrAqzjwJkh8,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
http,O,lr_0Voplflo,
s://,O,lr_0Voplflo,
soundcloud.app.goo.gl/WpDSYet136r7annC8,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
https,O,lr_0Voplflo,
://,O,lr_0Voplflo,
soundcloud.app.goo.gl/t1tQDMcd3YszTEcv7,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
http,O,lr_0Voplflo,
s://,O,lr_0Voplflo,
soundcloud.app.goo.gl/JyTUU4qzLS5tYSY49,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
http,O,lr_0Voplflo,
s://,O,lr_0Voplflo,
soundcloud.app.goo.gl/5meqxVmebmxf7re29,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
http,O,lr_0Voplflo,
s://,O,lr_0Voplflo,
soundcloud.app.goo.gl/UNxBt6fgYbRNFVPR7,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
https://,O,lr_0Voplflo,
soundcloud.app.goo.gl/6vd5r6Agz2XUUP9M9,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
??,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
Instagram,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
@,O,lr_0Voplflo,
am11.00,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
https://,O,lr_0Voplflo,
www.instagram.com/am11.00,O,lr_0Voplflo,
/,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
??,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
contact,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
E-mail:,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
kcl1128@daum.net,O,lr_0Voplflo,
ㅡㅡㅡ,ㅡㅡㅡ,lr_0Voplflo,
#,O,lr_0Voplflo,
가평,B_LOC,lr_0Voplflo,
 ,O,lr_0Voplflo,
#,O,lr_0Voplflo,
가평,B_LOC,lr_0Voplflo,
여행,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
#,O,lr_0Voplflo,
가평,B_LOC,lr_0Voplflo,
브이로그,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
#여행브이로그,O,lr_0Voplflo,
 ,O,lr_0Voplflo,
#,O,lr_0Voplflo,
제이드,B_TOR,lr_0Voplflo,
