단어,개체명 인식,id,***
[,O,jbo_0v75GVY,
가평 VLOG,O,jbo_0v75GVY,
],O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
남자친구,O,jbo_0v75GVY,
랑,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
첫,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
가평,B_LOC,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
여행??,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
/,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
여행,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
브이로그,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
/,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
커플,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
/,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
일상,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
/,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
주말,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
/,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
송원,B_RES,jbo_0v75GVY,
막국수,I_RES,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
/,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
바베큐,O,jbo_0v75GVY,
 ,O,jbo_0v75GVY,
파티,O,jbo_0v75GVY,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
가평,B_LOC,_uCaxnrJaSk,
 ,O,_uCaxnrJaSk,
여행,O,_uCaxnrJaSk,
 ,O,_uCaxnrJaSk,
브이로그ㅣ여행기록ㅣ,O,_uCaxnrJaSk,
커플,O,_uCaxnrJaSk,
여행ㅣ,O,_uCaxnrJaSk,
아침고요수목원,B_TOR,_uCaxnrJaSk,
ㅣ,O,_uCaxnrJaSk,
까사32 리조트,O,_uCaxnrJaSk,
ㅣ,O,_uCaxnrJaSk,
가평,B_LOC,_uCaxnrJaSk,
 ,O,_uCaxnrJaSk,
가볼만한,O,_uCaxnrJaSk,
 ,O,_uCaxnrJaSk,
곳,O,_uCaxnrJaSk,
 ,O,_uCaxnrJaSk,
추천ㅣ카페추천,O,_uCaxnrJaSk,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
가평,B_LOC,A_B5gnJq9D8,
-,O,A_B5gnJq9D8,
남이섬,B_TOR,A_B5gnJq9D8,
 ,O,A_B5gnJq9D8,
1박 2일,O,A_B5gnJq9D8,
 ,O,A_B5gnJq9D8,
여행,O,A_B5gnJq9D8,
 ,O,A_B5gnJq9D8,
브이로그??,O,A_B5gnJq9D8,
 ,O,A_B5gnJq9D8,
(,O,A_B5gnJq9D8,
남이섬,B_TOR,A_B5gnJq9D8,
",",O,A_B5gnJq9D8,
 ,O,A_B5gnJq9D8,
라틴정원,B_CAF,A_B5gnJq9D8,
",",O,A_B5gnJq9D8,
 ,O,A_B5gnJq9D8,
화이트큐브24,O,A_B5gnJq9D8,
",",O,A_B5gnJq9D8,
 ,O,A_B5gnJq9D8,
산골농원,B_RES,A_B5gnJq9D8,
",",O,A_B5gnJq9D8,
 ,O,A_B5gnJq9D8,
양,O,A_B5gnJq9D8,
떼목장카페,O,A_B5gnJq9D8,
",",O,A_B5gnJq9D8,
 ,O,A_B5gnJq9D8,
스위스마을,O,A_B5gnJq9D8,
),O,A_B5gnJq9D8,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
가평,B_LOC,8k5a6mM7xAo,
여행,O,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
브이로그,O,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
/,O,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
자라섬남도,B_TOR,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
/,O,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
돈내고가기전에,O,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
공짜로가세요~,O,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
개인적으로,O,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
남이섬,B_TOR,8k5a6mM7xAo,
과,O,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
비교할경우,O,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
가성비가,O,8k5a6mM7xAo,
 ,O,8k5a6mM7xAo,
너무나도,O,8k5a6mM7xAo,
