단어,개체명 인식,id,***
[VLOG],O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
노잼,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
도시,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
NO!,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
유잼,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
도시,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
YES?,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
1박 2일,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
여행,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
브이로그,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
with,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
윤위즈덤,O,vEf2TdOMpQs,
",",O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
토영,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
#브이로그,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
#딘디브이로그,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
#여행브이로그,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
#,O,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
여행,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
#,O,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
브이로그,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
#,O,vEf2TdOMpQs,
대전1박2일,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
#,O,vEf2TdOMpQs,
딘디로그,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
*,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
촬영,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
시에만,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
잠시,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
마스크,O,vEf2TdOMpQs,
를,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
벗었습니다.,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
"안녕하세요,",O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
패션,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
유튜버,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
딘디,O,vEf2TdOMpQs,
입니다.,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
정말,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
오랜만에,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
브이로그로,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
찾아뵙네요.,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
토영,O,vEf2TdOMpQs,
이,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
결혼,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
기념(?),O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
1박 2일,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
알차게,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
다녀온,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
브이로그예요.,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
정말로,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
가보고,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
싶었던,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
"카페,",O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
"맛집,",O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
숙소,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
다,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
다녀왔습니다,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
:),O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
그럼,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
즐겁게,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
봐주세요!,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
toast,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
중구,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
은행동,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
134,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
100sheets,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
중구,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
대흥로,O,vEf2TdOMpQs,
121번길,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
36,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
2층,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
교토,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
스탠다드,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
[,O,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
여행 에어비앤비,O,vEf2TdOMpQs,
],O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
버터피베이크샵,B_CAF,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
대전시,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
서구,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
신갈마로,O,vEf2TdOMpQs,
230번길,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
9,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
전통,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
손,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
칼국수,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
서구,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
계룡로,O,vEf2TdOMpQs,
628번길,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
9,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
커피,B_CAF,vEf2TdOMpQs,
인터뷰,I_CAF,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
유성구,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
한밭대로,O,vEf2TdOMpQs,
371번길,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
03월 25일,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
동북아,B_RES,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
동구,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
철갑길,O,vEf2TdOMpQs,
45,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
워커샵,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
대전,B_LOC,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
동구,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
새둑길,O,vEf2TdOMpQs,
180,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
-,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
블로그:,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
https:,O,vEf2TdOMpQs,
//,O,vEf2TdOMpQs,
blog.naver.com/tlswlgprjt,O,vEf2TdOMpQs,
/,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
인스타그램httpswwwinstagramcomdindihye,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
Music,O,vEf2TdOMpQs,
ㅡㅡㅡ,ㅡㅡㅡ,vEf2TdOMpQs,
Song:,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
Fredji,O,vEf2TdOMpQs,
 ,O,vEf2TdOMpQs,
-,O,vEf2TdOMpQs,
