단어,개체명 인식,id,***
yourury,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
vlog,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
＊사회적,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
거리두기,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
강화,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
기간,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
이전의,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
일상을,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
담은,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
영상입니다.,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
_발걸음이,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
닿은,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
곳,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
#,O,NQ7pw3e5Qy0,
동인천,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
다다상점,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
차북카페,B_CAF,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
커넥더닷츠,B_CAF,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
잡화분기점,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
오슬로,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
타르트,O,NQ7pw3e5Qy0,
야,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
카페 아키라,B_CAF,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
월미도,B_TOR,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
_사용한,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
음악,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
https://,O,NQ7pw3e5Qy0,
soundcloud,O,NQ7pw3e5Qy0,
.com/,O,NQ7pw3e5Qy0,
ham_zayvo/59ohl01r51om,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
https://,O,NQ7pw3e5Qy0,
soundcloud,O,NQ7pw3e5Qy0,
.com/,O,NQ7pw3e5Qy0,
leekangseung/i9hw34jxoui2,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,NQ7pw3e5Qy0,
#,O,NQ7pw3e5Qy0,
인천,B_LOC,NQ7pw3e5Qy0,
브이로그,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
#,O,NQ7pw3e5Qy0,
동인천,O,NQ7pw3e5Qy0,
브이로그,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
안녕하세요,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
사야,O,YAxhuwfVJ24,
입니다.,O,YAxhuwfVJ24,
ㅡㅡㅡ,ㅡㅡㅡ,YAxhuwfVJ24,
이번주,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
영상은,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
6월 첫째주,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
일상입니다.,O,YAxhuwfVJ24,
ㅡㅡㅡ,ㅡㅡㅡ,YAxhuwfVJ24,
정들었던,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
터미널,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
1,O,YAxhuwfVJ24,
을,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
떠나,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
새로운,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
터미널,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
2,O,YAxhuwfVJ24,
로,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
출근하는,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
6월,O,YAxhuwfVJ24,
의,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
시작이네요.,O,YAxhuwfVJ24,
ㅡㅡㅡ,ㅡㅡㅡ,YAxhuwfVJ24,
다들,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
힘찬,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
6월,O,YAxhuwfVJ24,
이,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
되길,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
바라며.,O,YAxhuwfVJ24,
ㅡㅡㅡ,ㅡㅡㅡ,YAxhuwfVJ24,
오늘,O,YAxhuwfVJ24,
도,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
영상,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
봐주셔서,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
감사합니다!,O,YAxhuwfVJ24,
ㅡㅡㅡ,ㅡㅡㅡ,YAxhuwfVJ24,
Thank,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
you,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
for,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
watching,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
my,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
video,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
today.,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
Love??,O,YAxhuwfVJ24,
ㅡㅡㅡ,ㅡㅡㅡ,YAxhuwfVJ24,
#,O,YAxhuwfVJ24,
직장인,O,YAxhuwfVJ24,
브이로그,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#공항브이로그,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#브이로그,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#,O,YAxhuwfVJ24,
회사원,O,YAxhuwfVJ24,
브이로그,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#출근브이로그,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#일상,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#,O,YAxhuwfVJ24,
인천공항,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#,O,YAxhuwfVJ24,
영종도,B_TOR,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#,O,YAxhuwfVJ24,
영종도,B_TOR,YAxhuwfVJ24,
브이로그,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#놀러와인,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#,O,YAxhuwfVJ24,
일본어,O,YAxhuwfVJ24,
공부,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#JLPT,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
#Vlog,O,YAxhuwfVJ24,
 ,O,YAxhuwfVJ24,
