단어,개체명 인식,id,***
[VLOG],O,MiLld_f0M5M,
 ,O,MiLld_f0M5M,
인천,B_LOC,MiLld_f0M5M,
 ,O,MiLld_f0M5M,
여행,O,MiLld_f0M5M,
 ,O,MiLld_f0M5M,
"브이로그,",O,MiLld_f0M5M,
 ,O,MiLld_f0M5M,
아이폰,O,MiLld_f0M5M,
 ,O,MiLld_f0M5M,
12,O,MiLld_f0M5M,
 ,O,MiLld_f0M5M,
"무보정,",O,MiLld_f0M5M,
 ,O,MiLld_f0M5M,
차이나타운,B_TOR,MiLld_f0M5M,
",",O,MiLld_f0M5M,
 ,O,MiLld_f0M5M,
동화마을,B_TOR,MiLld_f0M5M,
",",O,MiLld_f0M5M,
 ,O,MiLld_f0M5M,
개항누리길,B_TOR,MiLld_f0M5M,
",",O,MiLld_f0M5M,
월미도,B_TOR,MiLld_f0M5M,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
[VLOG],O,5jwzHy10Ca0,
 ,O,5jwzHy10Ca0,
인천,B_LOC,5jwzHy10Ca0,
 ,O,5jwzHy10Ca0,
여행,O,5jwzHy10Ca0,
 ,O,5jwzHy10Ca0,
브이로그,O,5jwzHy10Ca0,
 ,O,5jwzHy10Ca0,
|,O,5jwzHy10Ca0,
 ,O,5jwzHy10Ca0,
월미도,B_TOR,5jwzHy10Ca0,
 ,O,5jwzHy10Ca0,
테마파크??,O,5jwzHy10Ca0,
송도,O,5jwzHy10Ca0,
 ,O,5jwzHy10Ca0,
오라카이 호텔,O,5jwzHy10Ca0,
",",O,5jwzHy10Ca0,
솔찬공원,B_TOR,5jwzHy10Ca0,
",",O,5jwzHy10Ca0,
차이나타운,B_TOR,5jwzHy10Ca0,
",",O,5jwzHy10Ca0,
송월동,O,5jwzHy10Ca0,
 ,O,5jwzHy10Ca0,
동화마을,B_TOR,5jwzHy10Ca0,
???♀,O,5jwzHy10Ca0,
짜장빙수,O,5jwzHy10Ca0,
??,O,5jwzHy10Ca0,
개항누리길,B_TOR,5jwzHy10Ca0,
가서,O,5jwzHy10Ca0,
 ,O,5jwzHy10Ca0,
흑백사진찍기??,O,5jwzHy10Ca0,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
VLOG,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
|,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
인천,B_LOC,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
"브이로그,",O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
소품샵,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
독립서점,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
카페,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
그리고,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
월미도,B_TOR,NQ7pw3e5Qy0,
에서,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
힐링한,O,NQ7pw3e5Qy0,
 ,O,NQ7pw3e5Qy0,
하루,O,NQ7pw3e5Qy0,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
1주년,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
기념,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
데이트,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
브이로그,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
|,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
인천,B_LOC,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
여행,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
&amp;,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
호캉스,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
|,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
중구,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
신포역,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
송도,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
센트럴파크,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
핫플,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
맛집,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
카페,O,Aa4zcmNKDOM,
 ,O,Aa4zcmNKDOM,
[VLOG],O,Aa4zcmNKDOM,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
vlog/,O,9HZIrSK702c,
인천브이로그,O,9HZIrSK702c,
/,O,9HZIrSK702c,
개항누리길,B_TOR,9HZIrSK702c,
/맛집/,O,9HZIrSK702c,
차이나타운,B_TOR,9HZIrSK702c,
/,O,9HZIrSK702c,
동화마을,B_TOR,9HZIrSK702c,
/카페/,O,9HZIrSK702c,
월미도,B_TOR,9HZIrSK702c,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
인천,B_LOC,o0g3maOcCPw,
 ,O,o0g3maOcCPw,
데이트,O,o0g3maOcCPw,
 ,O,o0g3maOcCPw,
브이로그??,O,o0g3maOcCPw,
 ,O,o0g3maOcCPw,
|,O,o0g3maOcCPw,
 ,O,o0g3maOcCPw,
월미도,B_TOR,o0g3maOcCPw,
?,O,o0g3maOcCPw,
회,O,o0g3maOcCPw,
?술먹방?바이킹?,O,o0g3maOcCPw,
동화마을,B_TOR,o0g3maOcCPw,
?,O,o0g3maOcCPw,
인천,B_LOC,o0g3maOcCPw,
 ,O,o0g3maOcCPw,
카페?비오는날?트리플스트리,O,o0g3maOcCPw,
트,O,o0g3maOcCPw,
 ,O,o0g3maOcCPw,
쇼핑?,O,o0g3maOcCPw,
쭈꾸미볶음,O,o0g3maOcCPw,
?,O,o0g3maOcCPw,
서산,O,o0g3maOcCPw,
 ,O,o0g3maOcCPw,
해미읍성,O,o0g3maOcCPw,
?먹방브이로그,O,o0g3maOcCPw,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
실기,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
끝나고,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
남,O,pj8H2DctWF4,
사친,O,pj8H2DctWF4,
과,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
차이나타운,B_TOR,pj8H2DctWF4,
&amp;,O,pj8H2DctWF4,
한강,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
먹방,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
브이로그??,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
두 발,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
자전거,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
도전??,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
터키,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
아이스크림,O,pj8H2DctWF4,
/,O,pj8H2DctWF4,
인천,B_LOC,pj8H2DctWF4,
/,O,pj8H2DctWF4,
홍두병,B_CAF,pj8H2DctWF4,
/,O,pj8H2DctWF4,
양꼬치,O,pj8H2DctWF4,
 ,O,pj8H2DctWF4,
[미트],O,pj8H2DctWF4,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
[Vlog],O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
생일,O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
브이로그??,O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
|,O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
친구,O,4pciECGp1Ak,
들과,O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
인천,B_LOC,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
월미도,B_TOR,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
당일치기,O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
여행,O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
|,O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
인천차이나타운,B_TOR,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
|,O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
월미테마파크,B_TOR,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
|,O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
03년생,O,4pciECGp1Ak,
 ,O,4pciECGp1Ak,
브이로그?,O,4pciECGp1Ak,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
송도,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
센트럴파크,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
야경,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
브이로그,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
/,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
낮,O,SD9IQZyD0-M,
과,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
밤,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
영상,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
/,O,SD9IQZyD0-M,
인천,B_LOC,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
송도,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
가볼만한곳,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
/,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
인천,B_LOC,SD9IQZyD0-M,
여행,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
/,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
현대프리미엄 아울렛,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
/,O,SD9IQZyD0-M,
 ,O,SD9IQZyD0-M,
