단어,개체명 인식,id
전주,B_LOC,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
뚜벅이,O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
당일치기,O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
여행코스,O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
Best,O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
7,O,btjvJ4MCmtg
?,O,btjvJ4MCmtg
전주,B_LOC,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
가볼만한곳국내여행,O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
추천?,O,btjvJ4MCmtg
전주수목원,B_TOR,btjvJ4MCmtg
",",O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
한옥마을,B_TOR,btjvJ4MCmtg
",",O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
경기전,B_TOR,btjvJ4MCmtg
",",O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
전동성당,B_TOR,btjvJ4MCmtg
",",O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
벽화마을,B_TOR,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
with,O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
시,O,btjvJ4MCmtg
간여행,O,btjvJ4MCmtg
101팸투어,O,btjvJ4MCmtg
Korea,O,btjvJ4MCmtg
 ,O,btjvJ4MCmtg
Travel,O,btjvJ4MCmtg
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
전주,B_LOC,yc6ZOZPVkJk
여행,O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
:,O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
2박3일,O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
누가,O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
길대요???,O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
-,O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
아원고택,B_CAF,yc6ZOZPVkJk
",",O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
한옥마을,B_TOR,yc6ZOZPVkJk
",",O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
"공방체험,",O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
청와대,O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
술,O,yc6ZOZPVkJk
 ,O,yc6ZOZPVkJk
언박싱까지...!,O,yc6ZOZPVkJk
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
완벽했던,O,xqAYrpv9BNg
 ,O,xqAYrpv9BNg
전주,B_LOC,xqAYrpv9BNg
 ,O,xqAYrpv9BNg
여행,O,xqAYrpv9BNg
 ,O,xqAYrpv9BNg
브이로그,O,xqAYrpv9BNg
 ,O,xqAYrpv9BNg
♥,O,xqAYrpv9BNg
 ,O,xqAYrpv9BNg
(한복데이트/,O,xqAYrpv9BNg
전주한옥마을,B_TOR,xqAYrpv9BNg
/,O,xqAYrpv9BNg
 ,O,xqAYrpv9BNg
전동성당,B_TOR,xqAYrpv9BNg
/,O,xqAYrpv9BNg
 ,O,xqAYrpv9BNg
경기전,B_TOR,xqAYrpv9BNg
/,O,xqAYrpv9BNg
 ,O,xqAYrpv9BNg
다도체험),O,xqAYrpv9BNg
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
[VLOG],O,cW2zJqyhQ7k
 ,O,cW2zJqyhQ7k
공무원,O,cW2zJqyhQ7k
 ,O,cW2zJqyhQ7k
브이로그ㅣ,O,cW2zJqyhQ7k
전주학산숲속시집도서관,B_TOR,cW2zJqyhQ7k
ㅣ소소한,O,cW2zJqyhQ7k
 ,O,cW2zJqyhQ7k
일상ㅣ힐링,O,cW2zJqyhQ7k
 ,O,cW2zJqyhQ7k
브이로그,O,cW2zJqyhQ7k
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
?♀(eng)나혼자 1박2일,O,OjsvjPdiuSc
 ,O,OjsvjPdiuSc
전주여행,O,OjsvjPdiuSc
|,O,OjsvjPdiuSc
 ,O,OjsvjPdiuSc
vlog,O,OjsvjPdiuSc
 ,O,OjsvjPdiuSc
|,O,OjsvjPdiuSc
 ,O,OjsvjPdiuSc
김누농,O,OjsvjPdiuSc
?♀,O,OjsvjPdiuSc
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
【K】,O,3ZeB02dsRog
 ,O,3ZeB02dsRog
전주,B_LOC,3ZeB02dsRog
 ,O,3ZeB02dsRog
여행,O,3ZeB02dsRog
 ,O,3ZeB02dsRog
전북,O,3ZeB02dsRog
 ,O,3ZeB02dsRog
여행,O,3ZeB02dsRog
 ,O,3ZeB02dsRog
전주,B_LOC,3ZeB02dsRog
 ,O,3ZeB02dsRog
79번,O,3ZeB02dsRog
 ,O,3ZeB02dsRog
명품버스,O,3ZeB02dsRog
 ,O,3ZeB02dsRog
(新,O,3ZeB02dsRog
 ,O,3ZeB02dsRog
1000번,O,3ZeB02dsRog
 ,O,3ZeB02dsRog
버스,O,3ZeB02dsRog
),O,3ZeB02dsRog
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
여행,O,YLASq2IHocY
 ,O,YLASq2IHocY
VLOG,O,YLASq2IHocY
 ,O,YLASq2IHocY
l,O,YLASq2IHocY
 ,O,YLASq2IHocY
전주,B_LOC,YLASq2IHocY
 ,O,YLASq2IHocY
한옥마을,B_TOR,YLASq2IHocY
 ,O,YLASq2IHocY
다녀왔습니다!!,O,YLASq2IHocY
 ,O,YLASq2IHocY
l,O,YLASq2IHocY
 ,O,YLASq2IHocY
전주,B_LOC,YLASq2IHocY
맛집발견,O,YLASq2IHocY
 ,O,YLASq2IHocY
l,O,YLASq2IHocY
 ,O,YLASq2IHocY
Jeonju Hanok,O,YLASq2IHocY
 ,O,YLASq2IHocY
village,O,YLASq2IHocY
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
【K】,O,GgSd9iGOucU
 ,O,GgSd9iGOucU
전주,B_LOC,GgSd9iGOucU
 ,O,GgSd9iGOucU
여행,O,GgSd9iGOucU
 ,O,GgSd9iGOucU
