단어,개체명 인식,id,***
[,O,guJvY2tbGL8,
하니HANI,O,guJvY2tbGL8,
],O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
V-log??,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
|,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
춘천,B_LOC,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
뚜벅이,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
여행,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
|,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
김유정역,B_TOR,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
|,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
레일바이크,B_TOR,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
|,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
인,O,guJvY2tbGL8,
생샷스팟,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
|,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
스카,B_TOR,guJvY2tbGL8,
이워,I_TOR,guJvY2tbGL8,
크,I_TOR,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
|,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
감자,B_CAF,guJvY2tbGL8,
밭,I_CAF,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
|,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
감자빵,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
|,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
산토리니,B_CAF,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
|,O,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
춘천,B_LOC,guJvY2tbGL8,
 ,O,guJvY2tbGL8,
맛집,O,guJvY2tbGL8,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
[vlog,O,GfLHdgahBWw,
 ,O,GfLHdgahBWw,
|,O,GfLHdgahBWw,
 ,O,GfLHdgahBWw,
일상브이로그,O,GfLHdgahBWw,
],O,GfLHdgahBWw,
 ,O,GfLHdgahBWw,
춘천,B_LOC,GfLHdgahBWw,
여행,O,GfLHdgahBWw,
 ,O,GfLHdgahBWw,
브이로그,O,GfLHdgahBWw,
 ,O,GfLHdgahBWw,
1탄,O,GfLHdgahBWw,
!!????,O,GfLHdgahBWw,
 ,O,GfLHdgahBWw,
(,O,GfLHdgahBWw,
춘천,B_LOC,GfLHdgahBWw,
여행/,O,GfLHdgahBWw,
남이섬,B_TOR,GfLHdgahBWw,
/,O,GfLHdgahBWw,
춘천,O,GfLHdgahBWw,
브이로,O,GfLHdgahBWw,
그/,O,GfLHdgahBWw,
김유정역,B_TOR,GfLHdgahBWw,
/,O,GfLHdgahBWw,
에어비앤비,O,GfLHdgahBWw,
 ,O,GfLHdgahBWw,
추천/,O,GfLHdgahBWw,
춘천,B_LOC,GfLHdgahBWw,
 ,O,GfLHdgahBWw,
감성숙소/,O,GfLHdgahBWw,
춘천,B_LOC,GfLHdgahBWw,
 ,O,GfLHdgahBWw,
에어비앤비,O,GfLHdgahBWw,
/,O,GfLHdgahBWw,
코닥,O,GfLHdgahBWw,
 ,O,GfLHdgahBWw,
미니샷 레트로3,O,GfLHdgahBWw,
),O,GfLHdgahBWw,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
[vlog,O,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
|,O,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
일상브이로그],O,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
춘천,B_LOC,YoRBtOMpFlA,
여행,O,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
브이로그,O,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
2탄,O,YoRBtOMpFlA,
!!????,O,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
(,O,YoRBtOMpFlA,
춘천여행,O,YoRBtOMpFlA,
/,O,YoRBtOMpFlA,
해피초원목장,B_TOR,YoRBtOMpFlA,
/,O,YoRBtOMpFlA,
춘천뚜벅이여행,O,YoRBtOMpFlA,
/,O,YoRBtOMpFlA,
해피초원목장,B_TOR,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
버스,O,YoRBtOMpFlA,
/,O,YoRBtOMpFlA,
춘천,B_LOC,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
감자밭,B_CAF,YoRBtOMpFlA,
/,O,YoRBtOMpFlA,
감바스,O,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
만들기/나홀로,O,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
생일파티/레이어드컷,O,YoRBtOMpFlA,
 ,O,YoRBtOMpFlA,
고데기),O,YoRBtOMpFlA,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
[여행VL,O,20HeLr1CsXM,
OG],O,20HeLr1CsXM,
 ,O,20HeLr1CsXM,
당일치기,O,20HeLr1CsXM,
 ,O,20HeLr1CsXM,
강원도,B_LOC,20HeLr1CsXM,
 ,O,20HeLr1CsXM,
춘천,B_LOC,20HeLr1CsXM,
 ,O,20HeLr1CsXM,
