단어,개체명 인식,id
SUB),O,XnXEvltu0tM
 ,O,XnXEvltu0tM
마이 리틀포레스트,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
하동,B_LOC,XnXEvltu0tM
 ,O,XnXEvltu0tM
여행,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
브이로그,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
벚꽃,O,YxTCZVE13fM
 ,O,YxTCZVE13fM
만개한,O,YxTCZVE13fM
 ,O,YxTCZVE13fM
하동,B_LOC,YxTCZVE13fM
 ,O,YxTCZVE13fM
여행,O,YxTCZVE13fM
 ,O,YxTCZVE13fM
브이로그,O,YxTCZVE13fM
 ,O,YxTCZVE13fM
I,O,YxTCZVE13fM
 ,O,YxTCZVE13fM
정보,O,YxTCZVE13fM
 ,O,YxTCZVE13fM
I,O,YxTCZVE13fM
 ,O,YxTCZVE13fM
십리벚꽃길,B_TOR,YxTCZVE13fM
 ,O,YxTCZVE13fM
I,O,YxTCZVE13fM
 ,O,YxTCZVE13fM
벚굴식당,B_RES,YxTCZVE13fM
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
사천,O,EQlMoo0dNZY
&amp,O,EQlMoo0dNZY
;,O,EQlMoo0dNZY
하동,B_LOC,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
여행,O,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
브이로그,O,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
:,O,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
사천,B_LOC,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
맛집과,O,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
"카페,",O,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
하동,B_LOC,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
카페,O,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
그리고,O,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
스타웨이,B_TOR,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
하동,B_LOC,EQlMoo0dNZY
을,O,EQlMoo0dNZY
 ,O,EQlMoo0dNZY
다녀왔어요!,O,EQlMoo0dNZY
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
브이로그.,O,Bkiq64Y8VHk
 ,O,Bkiq64Y8VHk
하동,B_LOC,Bkiq64Y8VHk
 ,O,Bkiq64Y8VHk
당일,O,Bkiq64Y8VHk
 ,O,Bkiq64Y8VHk
여행(맛집과,O,Bkiq64Y8VHk
 ,O,Bkiq64Y8VHk
카페).,O,Bkiq64Y8VHk
 ,O,Bkiq64Y8VHk
친구,O,Bkiq64Y8VHk
들과,O,Bkiq64Y8VHk
 ,O,Bkiq64Y8VHk
브런치.,O,Bkiq64Y8VHk
 ,O,Bkiq64Y8VHk
빵,O,Bkiq64Y8VHk
순이,O,Bkiq64Y8VHk
 ,O,Bkiq64Y8VHk
먹방.,O,Bkiq64Y8VHk
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
